Partida,Ganador,Dur,P_MCTS,P_Heuristico,P_Rand
156,Heuristico,2.1709672000001774,21,89,10
158,MCTS,2.338296200000059,77,25,18
157,MCTS,2.863044700000046,86,17,6
161,Heuristico,2.2266011000001527,49,56,15
160,MCTS,2.2558506000000307,71,10,28
163,Rand,2.3754681999998866,44,19,47
67,MCTS,22.76381870000023,47,25,37
162,Heuristico,2.628060699999878,48,66,6
166,Heuristico,2.31629410000005,38,67,11
105,MCTS,16.16904429999977,53,45,11
87,MCTS,19.55370539999967,53,23,44
167,MCTS,2.288543899999695,90,18,12
164,MCTS,2.918843899999956,64,15,37
169,MCTS,2.4736745999998675,75,13,30
168,MCTS,3.0642250000000786,81,10,26
170,Heuristico,2.3799113999998553,33,45,42
171,Heuristico,2.3107805999998163,39,41,40
173,MCTS,2.2879837000000407,58,23,36
107,MCTS,17.018814699999893,91,4,25
172,MCTS,2.592733500000122,74,12,34
176,MCTS,2.4577923000001647,66,6,37
132,Heuristico,11.916010899999947,14,85,21
180,MCTS,2.357731000000058,65,35,20
174,MCTS,3.2787688999997044,70,18,28
177,Heuristico,3.2252645999997185,15,80,25
183,Rand,2.207702100000006,33,25,62
181,Rand,3.0089591999999357,32,38,50
182,MCTS,2.625945799999954,53,29,35
185,MCTS,2.3547911999999087,60,39,21
186,Rand,2.2603347999997823,38,29,42
108,MCTS,19.300781700000243,58,35,16
189,Heuristico,2.187072100000023,27,60,30
188,Rand,2.626166999999896,47,18,55
121,MCTS,16.547392599999966,75,0,41
192,Heuristico,2.1462006000001566,15,58,43
184,Heuristico,3.6228988000002573,26,48,35
71,MCTS,27.15651990000015,72,20,18
191,Rand,2.5540698999998313,46,12,62
194,MCTS,2.2328356000002714,69,17,31
195,MCTS,2.367011299999831,62,26,21
196,MCTS,2.7193982000003416,56,20,44
193,Rand,3.2304831999999806,44,8,68
200,Heuristico,2.2494223999997303,30,68,22
201,MCTS,2.343238100000235,95,22,3
198,MCTS,3.398460200000045,65,26,29
204,Rand,2.462040000000343,23,36,61
203,Heuristico,2.927693999999974,40,73,4
208,MCTS,2.2323722000001,77,26,17
139,MCTS,15.72880750000013,79,31,10
209,Heuristico,2.1940982000000986,24,54,38
207,MCTS,3.145806800000173,64,21,33
206,MCTS,3.5661911000001965,58,36,26
211,Rand,2.3680037999997694,37,35,48
197,MCTS,5.331524800000352,71,11,38
210,Rand,2.7236698000001525,41,16,63
213,Heuristico,2.130804800000078,44,46,30
212,Rand,2.7231847999996717,30,26,64
216,Heuristico,2.120777999999973,13,69,34
215,MCTS,2.708448099999714,64,32,22
214,MCTS,3.149642700000186,73,20,27
218,MCTS,2.3027493999998114,47,42,31
221,Rand,2.1278354000000945,27,25,65
220,MCTS,2.91298420000021,65,20,35
224,MCTS,2.4895504000000983,51,43,15
223,Rand,2.847684699999718,37,29,54
219,Rand,3.408025799999905,33,32,51
222,MCTS,3.2672201000000314,58,46,5
175,MCTS,12.96215119999988,91,14,15
226,MCTS,2.79976970000007,51,25,44
190,Heuristico,10.71411769999986,6,90,14
178,MCTS,13.284268099999736,84,7,27
202,MCTS,8.872216099999605,65,42,13
227,MCTS,3.046552100000099,72,17,29
225,MCTS,4.1684951000002,81,0,28
228,MCTS,3.301263800000015,54,26,30
165,MCTS,16.326037400000132,56,20,42
159,MCTS,17.465080699999817,106,11,3
199,MCTS,10.318201600000066,45,44,29
187,MCTS,13.10043369999994,90,30,0
217,MCTS,7.012944600000083,76,22,11
205,Heuristico,10.025229699999727,48,53,15
230,Heuristico,4.127490900000339,22,57,41
231,MCTS,3.6490797000001294,106,14,0
234,Heuristico,3.3155101000002105,42,68,10
233,Heuristico,3.755699100000129,44,51,21
232,MCTS,4.005268299999898,72,0,37
235,MCTS,3.9070392000003267,54,17,47
179,MCTS,16.02970069999992,59,28,33
229,Rand,5.756620399999974,29,6,85
236,MCTS,4.526741799999854,67,9,44
241,Rand,3.547479800000019,41,30,49
242,Heuristico,3.482398000000103,2,77,41
243,MCTS,3.6728871000000254,69,0,51
240,MCTS,4.329306600000109,55,44,21
238,Rand,5.021218899999894,49,21,50
239,MCTS,4.691689899999801,59,48,3
237,MCTS,5.445765200000096,48,35,26
251,MCTS,3.4148569999997562,66,9,34
244,Rand,4.914716100000078,36,25,49
252,MCTS,3.35372260000031,87,0,33
245,MCTS,4.65801380000039,61,20,39
246,Heuristico,4.77815129999999,23,53,40
255,Heuristico,3.546287100000427,48,52,9
257,MCTS,3.365560100000039,62,28,30
247,MCTS,5.408342299999731,70,14,34
250,MCTS,5.021538400000281,81,3,36
249,Heuristico,5.2205260999999155,36,56,28
248,Heuristico,5.280900499999916,14,61,45
254,MCTS,4.609964400000081,64,16,29
259,MCTS,3.9201741000001675,80,30,10
260,MCTS,4.092510500000117,57,39,24
261,Heuristico,3.8839287000000695,59,61,0
265,MCTS,3.5171197999998185,79,35,6
266,Heuristico,3.0988179000000855,51,56,13
258,MCTS,4.866212999999789,68,15,27
268,MCTS,3.350855700000011,60,53,5
253,MCTS,6.5459264000000985,73,21,24
262,MCTS,4.720718999999917,65,31,24
256,Rand,6.481247100000019,20,43,47
263,MCTS,4.922572299999956,65,10,45
271,Rand,3.6390158999997766,42,18,50
264,MCTS,5.4384194000003845,81,16,21
272,Rand,4.022752100000162,33,39,48
270,MCTS,5.0350031999996645,76,8,36
278,Rand,3.158816900000147,38,25,57
274,MCTS,4.028057599999556,63,45,2
277,Rand,4.215913099999852,30,35,55
