Partida,Ganador,Dur,P_MCTS,P_Heuristico,P_Rand
151,Heuristico,1.6048605999999381,47,67,6
153,Heuristico,1.4752128999998604,34,67,9
122,Heuristico,5.725934400000369,31,49,37
128,Heuristico,4.879878900000222,30,67,23
156,MCTS,1.3801704000002246,66,47,3
157,MCTS,1.699618300000111,53,41,23
158,MCTS,1.6448584999998275,65,51,0
160,MCTS,1.540851499999917,97,21,2
162,MCTS,1.5543586000003415,41,40,29
163,MCTS,1.6339768999996522,80,21,19
168,Heuristico,1.4768801999998686,34,69,6
159,MCTS,2.0593763000001672,78,3,39
124,Heuristico,6.550415799999882,34,75,7
167,MCTS,1.7479260000000068,64,19,26
164,MCTS,2.142602799999622,53,36,28
172,MCTS,1.8277241999999205,65,34,21
169,MCTS,2.0713808000000427,54,36,20
136,Heuristico,5.794964499999878,17,75,24
144,MCTS,5.295008000000053,55,16,49
176,Rand,2.0257659000003514,0,30,90
173,Rand,2.5891397000000325,37,37,42
175,Rand,2.6960692999996354,17,34,66
177,MCTS,2.6430662000002485,70,0,50
181,MCTS,2.275670900000023,52,29,39
178,Rand,2.556583000000046,14,32,64
154,Heuristico,5.478445499999907,35,69,16
174,MCTS,3.609194799999841,86,20,14
141,MCTS,7.321631700000125,50,29,41
182,MCTS,3.0246538999999757,42,35,41
183,Heuristico,2.619763800000328,32,79,6
161,MCTS,5.503830000000107,72,22,26
155,MCTS,6.3052073000003475,62,48,10
184,MCTS,3.027899299999717,41,37,38
165,Heuristico,5.425442300000213,37,54,19
179,MCTS,4.0816257000001315,60,9,48
188,MCTS,2.3947055999997247,71,11,38
187,MCTS,2.756901000000198,50,25,45
189,Rand,2.246074900000167,20,36,64
192,Heuristico,2.134721499999614,4,63,49
191,MCTS,2.578625099999954,63,6,51
190,MCTS,2.977382199999738,85,35,0
194,Heuristico,2.5308202999999594,24,77,17
196,Heuristico,2.256177899999784,38,66,16
200,Rand,2.041175600000315,17,45,54
197,MCTS,2.767959499999961,64,40,16
203,Heuristico,2.245068799999899,48,62,10
204,Heuristico,2.1526778000002196,35,53,32
202,MCTS,2.8319978999998057,48,31,39
206,Heuristico,2.227988600000117,13,69,35
185,Heuristico,6.266529099999843,33,56,31
170,MCTS,8.466460999999981,64,45,0
180,Rand,7.347505599999749,27,24,69
208,Heuristico,2.3448456999999507,28,72,17
207,MCTS,2.7259596999997484,85,4,20
211,MCTS,1.9924587999998948,57,35,28
209,MCTS,2.4426684999998542,49,37,34
186,Heuristico,7.269273400000202,27,52,38
171,Rand,9.669358199999806,31,28,51
205,MCTS,4.214459900000293,96,20,4
212,Heuristico,2.542967899999894,11,61,38
210,MCTS,3.3391081999998278,64,13,43
214,Heuristico,2.598702599999797,23,81,16
215,Heuristico,2.273393500000111,49,66,2
216,Rand,2.3780141999995976,0,42,74
213,Rand,3.023644400000194,11,51,58
220,MCTS,2.354732399999648,58,23,39
222,MCTS,2.364219999999932,59,51,0
223,Rand,2.718214699999862,24,31,55
221,MCTS,3.2330056000000695,103,17,0
227,Heuristico,2.529219500000181,41,66,3
228,Heuristico,2.389303999999811,38,51,21
230,MCTS,2.253046799999993,41,33,36
229,Rand,2.433619799999633,37,24,59
166,MCTS,13.330935899999986,51,37,32
231,MCTS,2.681087099999786,62,34,14
226,MCTS,3.3687222000003203,63,41,14
232,MCTS,2.4875435999997535,53,46,17
198,Rand,8.686540100000002,42,11,56
233,Heuristico,2.1641954000001533,29,79,12
193,MCTS,9.3451685,50,19,40
201,Heuristico,8.848444599999766,33,53,30
195,MCTS,9.542930299999625,68,24,28
199,MCTS,8.911632599999848,49,48,13
234,MCTS,2.7673275000001922,71,17,32
235,MCTS,2.3305481000002146,63,40,17
236,MCTS,2.2215233000001717,56,33,21
238,Heuristico,1.9435363999996298,39,50,29
217,Rand,6.216181400000096,16,31,73
224,Heuristico,5.0660108000001856,48,49,21
218,MCTS,6.381172100000185,68,35,17
240,Heuristico,2.2161134000002676,45,51,13
237,Rand,2.770489600000019,10,44,62
242,MCTS,2.121220699999867,68,25,16
243,Rand,2.213585899999998,27,41,52
241,Heuristico,2.5859685000000354,42,48,19
246,Rand,2.247480799999721,50,11,56
239,MCTS,3.3281373999998323,82,20,7
244,MCTS,2.835404699999799,91,18,0
252,Heuristico,2.57577560000027,42,48,26
251,MCTS,2.826437199999873,61,29,20
253,MCTS,2.7922137000000475,69,43,8
260,Rand,2.3635346000000936,17,38,55
261,MCTS,2.3021175999997467,54,28,34
219,Rand,9.374257999999827,28,26,56
264,MCTS,2.332036799999969,59,36,22
263,MCTS,2.8836224000001494,57,48,11
254,Heuristico,4.189102800000001,11,64,35
258,MCTS,4.085486399999809,68,28,21
266,Rand,2.4317535999998654,25,25,66
259,MCTS,4.193533900000148,89,15,6
267,Rand,2.693939499999942,37,25,58
265,MCTS,3.6545876999998654,67,53,0
269,Heuristico,2.238868899999943,36,57,27
270,MCTS,2.4065740000000915,78,42,0
268,MCTS,2.9715595999996367,64,40,14
272,Heuristico,2.3240843000003224,46,48,22
273,Heuristico,2.357670199999575,48,72,0
275,Rand,2.067170399999668,51,15,54
225,Heuristico,11.605988499999967,39,40,30
276,MCTS,2.35669740000003,54,29,27
274,MCTS,3.179339400000117,87,19,4
279,MCTS,2.22978379999995,70,4,44
277,MCTS,2.637384000000111,49,45,26
247,Heuristico,8.607856000000083,33,58,29
280,MCTS,2.6063821999996435,69,2,39
282,MCTS,2.2743892999997115,51,51,14
278,MCTS,2.9172371999998177,64,6,39
281,MCTS,2.5816015999998854,47,32,41
245,MCTS,9.668359499999951,64,26,26
283,Heuristico,2.5233155000000806,28,41,40
284,MCTS,2.3932029999996303,56,42,22
248,MCTS,9.47191470000007,52,29,39
285,MCTS,2.6894843999998557,49,32,39
288,Heuristico,2.070067399999971,35,68,17
249,Rand,10.137677900000199,43,17,60
290,Heuristico,2.1584035000000767,38,52,30
289,MCTS,2.6335729999996147,58,11,51
294,Rand,2.210898499999985,24,17,68
287,Heuristico,3.3940104999996947,46,46,24
292,MCTS,2.675941099999818,53,52,11
295,MCTS,2.4968613999999434,53,53,14
298,Heuristico,2.1185302999997475,13,57,50
293,MCTS,2.9401241999999,58,34,26
300,MCTS,2.392643499999849,49,45,16
297,MCTS,3.1291950999998335,75,35,0
301,MCTS,2.551981000000069,76,35,9
250,Rand,12.740398500000083,40,31,49
304,MCTS,2.102500399999826,64,23,33
303,Heuristico,2.8273518000000877,32,46,42
305,Rand,2.7242231000000174,40,15,54
255,Heuristico,13.20841079999991,37,53,28
310,MCTS,2.632249199999933,73,30,15
308,MCTS,2.824051800000234,64,26,20
309,Rand,2.932039900000291,44,30,46
307,MCTS,3.4270394000000124,59,39,12
312,Heuristico,2.826726299999791,22,98,0
311,Heuristico,3.0174713999999767,15,74,20
306,MCTS,4.237628500000028,82,25,13
271,MCTS,11.401737599999706,72,41,4
257,Heuristico,14.45851090000042,21,62,37
256,Heuristico,14.60841629999959,25,71,13
315,MCTS,3.3460211999999956,73,18,29
316,MCTS,3.563870599999973,61,53,4
291,MCTS,8.738697100000081,72,14,32
296,Heuristico,7.849524100000053,16,62,42
