c,iteraciones,victory_rate,duration_mean,duration_std,Pm_mean,Pm_std,Pr_mean,Pr_std
0.5,100,90.0,1.0077360860001499,0.12943885697649501,84.98,18.053763246119598,30.2,17.563877587775636
0.5,500,92.0,2.390469466000068,0.4767169278003931,88.78,17.6106299068002,27.92,17.165271061426466
0.5,1000,90.0,3.2122229180002613,0.9218042314149354,78.02,17.948327191679784,35.74,17.724432577774714
1.0,100,94.0,1.0514878939998744,0.15591936145873203,82.28,18.13671437066993,32.2,17.41099816618384
1.0,500,92.0,2.1944457500000136,0.4245062318166349,85.84,17.060947170873806,29.44,17.22854773748667
1.0,1000,88.0,3.207158765999557,0.6225709850649808,80.22,18.54975658567398,35.98,19.00965383102781
1.4,100,84.0,1.0731159820000904,0.10971727667080611,79.84,18.589397900032,36.12,18.88919354162748
1.4,500,94.0,2.268501931999781,0.38422853620768577,84.54,18.108753098308842,31.76,17.858354244625414
1.4,1000,94.0,3.062543974000073,0.4385195702846253,85.1,18.07269899543485,30.36,17.184188270925468
2.0,100,90.0,1.0817143299994496,0.18724457518564955,80.66,16.677750056250854,33.74,15.092652625211583
2.0,500,90.0,2.921333586000037,1.1497047383580035,83.88,18.3965835337512,33.12,18.532530692745418
2.0,1000,90.0,6.190353045999873,2.590755772180851,82.46,19.009353229504725,33.04,18.334711141794987
