c,iteraciones,seed,duration,P_MCTS,P_Rand,victory
1.0,100,277,0.9202277999975195,101,19,1
1.0,100,278,0.9289117999978771,44,76,0
1.0,100,276,1.0072063999978127,105,15,1
1.0,100,282,0.8323414999977103,63,55,1
1.0,100,273,1.3736815999982355,67,42,1
1.0,100,283,0.8597598000014841,69,40,1
1.0,100,280,1.1735728999992716,66,54,1
1.0,100,281,1.0473636999995506,68,42,1
1.0,100,287,0.8406188000008115,74,44,1
0.5,1000,1141,4.533153799999127,75,35,1
1.0,100,284,1.1736248999986856,68,48,1
1.0,100,286,1.0858996999995725,83,27,1
1.0,100,285,1.1357434000019566,83,33,1
1.0,100,289,0.9038580000014917,80,26,1
1.0,100,288,1.1622185000014724,78,29,1
1.0,100,291,1.0543890000008105,94,26,1
1.0,100,290,1.2455594000020938,95,25,1
1.0,500,644,1.6845278999971924,92,28,1
1.0,500,646,1.732271499997296,108,12,1
1.0,500,645,1.765273699998943,72,48,1
0.5,1000,1135,6.861579100001109,75,43,1
1.0,500,647,1.924169300000358,93,27,1
1.0,500,642,2.187811199997668,95,22,1
1.0,500,649,1.8047755000006873,56,64,0
1.0,500,648,2.0553402000005008,91,29,1
1.0,500,654,1.8199096999996982,52,68,0
1.0,500,659,1.604415699999663,56,61,0
1.0,500,651,2.0757881999998062,80,40,1
1.0,500,653,2.000373099999706,88,29,1
1.0,500,655,1.9910559999989346,104,14,1
1.0,500,657,1.9937184000009438,62,55,1
1.0,500,650,2.372519000000466,68,38,1
1.0,500,658,2.209998900001665,59,48,1
1.0,500,652,2.5472305999974196,93,24,1
1.0,500,661,2.1330325999988418,90,19,1
1.0,500,656,2.3989278999979433,99,11,1
1.0,500,660,2.3062159000000975,74,46,1
1.0,500,643,3.250193300002138,102,18,1
1.0,500,662,2.549922600002901,65,52,1
1.0,500,669,1.7113045000005513,99,19,1
1.0,500,664,2.010616999999911,98,22,1
1.0,500,668,1.8984947000026295,96,24,1
1.0,500,672,1.722696699998778,93,6,1
1.0,500,663,2.4444708000009996,74,40,1
1.0,500,665,2.2594043999997666,87,23,1
1.0,500,671,1.8192000000017288,80,26,1
1.0,500,675,1.758423800001765,77,39,1
1.0,500,673,1.958743000002869,104,6,1
1.0,500,674,1.9916493000018818,81,35,1
1.0,500,670,2.4231884999971953,90,30,1
1.0,500,666,2.6230614999985846,109,11,1
1.0,500,667,2.983343399999285,92,18,1
1.0,500,680,2.186882099998911,81,37,1
1.0,500,678,2.3443532999990566,79,26,1
1.0,500,677,2.816994500000874,112,0,1
1.0,500,676,2.897536800002854,106,14,1
1.0,500,682,2.4563578000015696,53,53,0
1.0,500,679,2.5984060000009777,61,55,1
1.0,500,686,1.8147791999981564,107,13,1
1.0,500,685,1.8409991000007722,61,55,1
1.0,500,687,1.7929131999990204,103,14,1
1.0,500,690,1.7961808999971254,101,9,1
1.0,500,689,1.862510700000712,73,44,1
1.0,500,681,2.9302227000007406,83,27,1
1.0,500,683,2.9365498000006482,85,31,1
1.0,500,688,2.1399256000004243,112,8,1
1.0,500,691,2.1096653999993578,106,4,1
1.0,500,684,3.1859416000006604,90,30,1
1.0,1000,1143,2.6784401000004436,53,65,0
1.0,1000,1142,2.8708670000014536,76,44,1
1.0,1000,1145,2.7612176000002364,86,34,1
1.0,1000,1144,2.941044499999407,92,24,1
1.0,1000,1146,3.3809017999992648,102,15,1
1.0,1000,1148,3.0844524999993155,59,57,1
1.0,1000,1155,2.8487972999973863,81,39,1
1.0,1000,1157,2.6615125999996962,59,50,1
1.0,1000,1151,2.9850329000000784,72,38,1
1.0,1000,1158,2.6561910999989777,85,35,1
1.0,1000,1162,2.479841700001998,56,64,0
1.0,1000,1161,2.5513031000009505,85,33,1
1.0,1000,1152,3.146261999998387,71,38,1
1.0,1000,1147,3.8528322000020125,95,15,1
1.0,1000,1156,3.1305224999996426,71,49,1
1.0,1000,1149,3.6890399000003526,88,26,1
1.0,1000,1153,3.6258555999993405,71,41,1
1.0,1000,1159,3.4492704999975103,93,25,1
1.0,1000,1150,3.987386900000274,94,21,1
1.0,1000,1164,2.616184099999373,83,26,1
1.0,1000,1160,3.5807720000011614,75,45,1
1.0,1000,1165,2.869394499997725,68,52,1
1.0,1000,1166,2.8928921000006085,106,14,1
1.0,1000,1163,3.5781523999976343,85,31,1
1.0,1000,1167,3.0325678999979573,99,18,1
1.0,1000,1154,5.1013125000026776,107,13,1
1.0,1000,1168,3.157122699998581,96,13,1
1.0,1000,1170,2.723438699998951,67,43,1
1.0,1000,1171,2.784391399996821,84,25,1
1.0,1000,1178,2.5693422999975155,74,43,1
1.0,1000,1173,2.9710126999998465,95,21,1
1.0,1000,1177,3.1219958999972732,66,54,1
1.0,1000,1172,3.4554334999993443,96,22,1
1.0,1000,1179,3.146944199997961,90,30,1
1.0,1000,1183,2.4305447000006097,51,66,0
1.0,1000,1169,3.8518800000019837,106,14,1
1.4,100,282,0.9223557000004803,95,25,1
1.0,1000,1175,3.5344318999996176,88,29,1
1.0,1000,1176,3.513216499999544,44,76,0
1.0,1000,1182,2.771810899997945,66,54,1
1.0,1000,1181,2.9223877000003995,71,38,1
1.4,100,283,0.9185353000029863,68,40,1
1.0,1000,1174,3.717515899999853,106,4,1
1.0,1000,1180,3.301639900000737,96,21,1
1.0,1000,1184,2.829993100000138,27,89,0
1.4,100,284,1.0101754000024812,83,27,1
1.0,1000,1185,2.9297699999988254,95,25,1
1.4,100,288,0.952202299999044,91,29,1
1.4,100,285,1.1206130999999004,84,36,1
1.4,100,286,1.1186164999999164,73,43,1
1.4,100,287,1.0501351000020804,50,66,0
1.4,100,290,0.9378795999982685,82,38,1
1.4,100,292,1.0042284000010113,49,71,0
1.4,100,289,1.1011212000012165,75,45,1
1.4,100,295,0.9569893000007141,101,19,1
1.0,1000,1189,2.656711199997517,73,37,1
1.4,100,293,1.1144257999985712,85,31,1
1.4,100,294,1.1412062999988848,39,79,0
1.4,100,299,0.9391333000021405,88,30,1
1.4,100,291,1.3136855000011565,112,4,1
1.4,100,298,1.0806800999998813,65,55,1
1.4,100,296,1.2573977000029117,57,61,0
1.4,100,297,1.2233983000005537,80,36,1
1.0,1000,1188,3.450052500000311,97,20,1
1.0,1000,1191,2.7537990999990143,83,37,1
1.4,100,301,0.9936027000003378,100,6,1
1.4,100,300,1.0533496999996714,74,42,1
1.4,100,305,0.9210961000026145,100,8,1
1.4,100,303,1.131192299999384,91,29,1
1.4,100,308,0.9422864999978628,86,32,1
1.4,100,304,1.1751369000012346,94,22,1
1.4,100,302,1.2292520000009972,74,46,1
1.0,1000,1190,3.1682971000009275,75,42,1
1.4,100,307,1.0935701999987941,113,7,1
1.4,100,306,1.169148299999506,85,31,1
1.4,100,312,0.929172699998162,66,51,1
1.4,100,309,1.1264239000011003,65,44,1
1.4,100,310,1.2047112000000197,69,40,1
1.4,100,313,1.032611700000416,53,63,0
1.4,100,311,1.1611451000026136,83,35,1
1.4,100,315,1.0700135000006412,34,75,0
1.4,100,314,1.1849666999987676,89,16,1
1.4,100,316,1.1831296999989718,69,44,1
1.4,100,318,0.9651742999994894,88,30,1
1.4,100,319,0.9044006999974954,76,40,1
1.4,100,317,1.1763361999983317,100,20,1
1.4,100,321,0.9479901000013342,47,73,0
1.4,100,320,1.1447637999990548,62,47,1
1.0,1000,1187,4.813816800000495,110,7,1
1.4,100,323,0.9354879999991681,90,19,1
1.4,100,326,0.9238665999982913,80,36,1
1.4,100,329,0.9237892000019201,100,20,1
1.4,100,325,1.074231399998098,83,37,1
1.4,100,322,1.195742899999459,103,17,1
1.4,100,327,1.1189111999992747,58,62,0
1.4,100,324,1.1712957999989158,92,24,1
1.4,100,328,1.1307101000020339,89,28,1
1.0,1000,1186,5.3303422999997565,43,77,0
1.4,100,330,1.135190999997576,105,4,1
1.4,100,331,1.1443197000007785,97,23,1
1.4,500,686,1.7753934000029403,90,30,1
1.4,500,683,2.1298039000030258,86,20,1
1.4,500,690,1.7723839999998745,73,47,1
1.4,500,684,2.150802100000874,63,57,1
1.4,500,693,1.8266913000006753,98,22,1
1.4,500,688,2.1572465999997803,120,0,1
1.4,500,687,2.1726025999996637,77,41,1
1.4,500,694,1.9568562999993446,73,47,1
1.4,500,682,2.716816000000108,94,16,1
1.4,500,701,1.7264528000014252,72,48,1
1.4,500,695,2.066428199999791,71,38,1
1.4,500,689,2.40227909999885,101,17,1
1.4,500,691,2.3660019999988435,108,12,1
1.4,500,685,2.7641120000007504,87,33,1
1.4,500,699,2.259280599999329,89,31,1
1.4,500,697,2.5516065999981947,98,11,1
1.4,500,702,2.455843299998378,71,46,1
1.4,500,698,2.6347739999982878,86,31,1
1.4,500,703,2.406583200001478,87,30,1
1.4,500,696,2.789142899997387,34,86,0
1.4,500,700,2.797654499998316,114,6,1
1.4,500,704,1.936798999999155,91,25,1
1.4,500,707,1.8385620999979437,96,13,1
1.4,500,692,3.5747009000006074,104,13,1
1.4,500,708,1.8673677999977372,50,49,1
1.4,500,713,1.652368999999453,109,11,1
1.4,500,706,2.1557332999982464,108,12,1
1.4,500,711,1.8059995000003255,92,28,1
1.4,500,710,1.9276860999998462,64,56,1
1.4,500,705,2.2696579999974347,88,18,1
1.4,500,709,2.044393800002581,88,21,1
1.4,500,714,1.74159139999756,103,17,1
1.4,500,716,2.2380751999990025,82,38,1
1.4,500,718,2.0913643000021693,57,60,0
1.4,500,712,2.533177400000568,81,35,1
1.4,500,715,2.6568030000016734,70,50,1
1.4,500,717,2.60079979999864,92,16,1
1.4,500,720,2.124382099998911,66,52,1
1.4,500,722,2.2459154999996827,94,15,1
1.4,500,723,2.261102500000561,97,23,1
1.4,500,721,2.4910746999994444,100,20,1
1.4,500,719,2.593706999999995,104,16,1
1.4,500,728,1.883139099998516,68,49,1
1.4,500,724,2.516034000000218,68,52,1
1.4,500,726,2.2258971000010206,82,35,1
1.4,500,730,1.9747447999980068,87,30,1
1.4,500,731,2.1051471999999194,92,28,1
1.4,500,727,2.5680406000028597,89,31,1
1.4,500,725,2.7273402999999234,40,70,0
1.4,1000,1184,2.4002674000003026,98,22,1
1.4,1000,1182,2.722292500002368,90,20,1
1.4,500,729,2.8947356999997282,73,36,1
1.4,1000,1183,3.0132431000020006,81,39,1
1.4,1000,1185,3.3426744999997027,105,9,1
1.4,1000,1187,2.7794540999966557,54,66,0
1.4,1000,1188,3.097436600000947,87,31,1
1.4,1000,1190,3.0525688999987324,93,25,1
1.4,1000,1192,2.856424399997195,85,31,1
1.4,1000,1186,3.542260800000804,100,17,1
1.4,1000,1196,2.593081200000597,82,28,1
1.4,1000,1189,3.2859760000028473,37,73,0
1.4,1000,1191,3.316824600002292,104,6,1
1.4,1000,1199,2.5909758000016154,79,41,1
1.4,1000,1194,2.959716000001208,104,16,1
1.4,1000,1195,2.9974925000024086,73,37,1
1.4,1000,1193,3.4573264999999083,82,28,1
1.4,1000,1200,2.77754460000142,108,9,1
1.4,1000,1203,2.5398730999986583,73,43,1
1.4,1000,1198,3.355543800000305,101,19,1
1.4,1000,1197,3.4766615999978967,68,52,1
1.4,1000,1204,2.6553770000027725,59,55,1
1.4,1000,1201,3.0883288999975775,73,27,1
1.4,1000,1202,3.4028811999996833,92,28,1
1.4,1000,1205,3.166452900000877,75,33,1
1.4,1000,1206,3.3251049000027706,87,30,1
1.4,1000,1208,2.814455399999133,62,58,1
1.4,1000,1209,2.8443203999995603,72,48,1
1.4,1000,1213,2.5424171999984537,54,55,0
1.4,1000,1210,2.7788368000001356,75,41,1
1.4,1000,1216,2.627851200002624,94,16,1
1.4,1000,1211,3.0229123999997682,107,13,1
1.4,1000,1221,2.331515199999558,82,38,1
1.4,1000,1212,3.132505300000048,110,10,1
1.4,1000,1207,3.9561704999978247,103,6,1
1.4,1000,1220,2.6103460999984236,88,32,1
1.4,1000,1215,3.05322580000211,61,52,1
1.4,1000,1218,3.045942199998535,61,49,1
1.4,1000,1223,2.54095949999828,65,51,1
1.4,1000,1224,2.4994397000009485,73,44,1
1.4,1000,1214,3.539815699998144,103,13,1
1.4,1000,1217,3.419872700000269,111,9,1
2.0,100,343,0.8955815999979677,61,48,1
2.0,100,342,1.1025374999990163,77,39,1
2.0,100,345,0.9458342999969318,97,23,1
2.0,100,344,1.1269052000025113,88,30,1
1.4,1000,1222,3.118892799997411,82,34,1
2.0,100,348,0.9181639999987965,84,30,1
2.0,100,346,1.0744579000020167,97,20,1
2.0,100,349,1.068050800000492,61,56,1
2.0,100,347,1.249875699999393,75,41,1
1.4,1000,1225,3.307274499999039,111,5,1
2.0,100,352,0.9660941999973147,87,33,1
2.0,100,351,0.9927738000005775,82,24,1
2.0,100,350,1.2495473999988462,90,30,1
2.0,100,355,0.9453346000009333,99,17,1
2.0,100,354,1.139615699998103,54,64,0
2.0,100,353,1.2390651999994589,81,37,1
1.4,1000,1219,4.279129500002455,81,39,1
2.0,100,356,1.178380699999252,103,13,1
2.0,100,357,0.9180009999981849,79,36,1
1.4,1000,1226,3.5403383000011672,102,18,1
2.0,100,358,0.934893400000874,55,52,1
1.4,1000,1228,2.9684242000002996,74,31,1
1.4,1000,1231,2.533531999997649,79,28,1
1.4,1000,1229,3.059869400000025,111,9,1
2.0,100,362,0.9204032999987248,100,17,1
2.0,100,364,0.8898251000027813,86,23,1
2.0,100,360,1.2739501999967615,87,20,1
2.0,100,359,1.3434508999998798,91,22,1
2.0,100,365,0.9548561999981757,85,32,1
2.0,100,366,0.9688529999984894,78,32,1
2.0,100,361,1.3617775999991864,108,2,1
2.0,100,363,1.194817299998249,71,49,1
2.0,100,368,0.973837999998068,88,30,1
2.0,100,371,0.8926316999968549,77,43,1
2.0,100,373,0.894595500001742,83,34,1
2.0,100,375,0.8591893000011623,73,45,1
1.4,1000,1227,4.191007199999149,89,31,1
2.0,100,376,0.9140487999975448,50,60,0
2.0,100,378,0.8713385000010021,93,16,1
1.4,1000,1230,3.57236180000109,115,3,1
2.0,100,369,1.2617403999975068,49,50,0
2.0,100,377,0.9306843999984267,79,41,1
2.0,100,367,1.5489610000004177,95,25,1
2.0,100,379,0.8849840000002587,80,36,1
2.0,100,370,1.3308088000012503,93,27,1
2.0,100,380,0.8914162999972177,61,45,1
2.0,100,374,1.3296648999967147,98,22,1
2.0,100,372,1.4305445999998483,107,9,1
2.0,100,383,0.9006326999988232,52,68,0
2.0,100,384,0.9824555999985023,90,30,1
2.0,100,387,0.951306899998599,53,52,1
2.0,100,381,1.2607482000021264,113,7,1
2.0,100,388,0.9191458000022976,50,59,0
2.0,100,382,1.3321427000009862,86,24,1
2.0,100,389,0.9627304999994521,60,40,1
2.0,100,390,0.9779692000010982,83,27,1
2.0,100,386,1.2849720000012894,73,41,1
2.0,100,385,1.3640675999995437,97,20,1
2.0,100,391,1.2820524999988265,74,46,1
2.0,500,748,1.8286458000002312,92,24,1
2.0,500,742,2.081546099998377,86,34,1
2.0,500,750,1.8677700000007462,79,41,1
2.0,500,746,2.07711879999988,86,34,1
2.0,500,743,2.181191799998487,48,72,0
2.0,500,754,1.7855148000016925,62,58,1
2.0,500,753,2.066302999999607,83,37,1
2.0,500,757,1.9458138000009058,77,22,1
2.0,500,760,1.8414822000013373,108,12,1
2.0,500,751,2.4603979000021354,100,20,1
2.0,500,755,2.250548300002265,97,23,1
2.0,500,744,2.845698799999809,94,26,1
2.0,500,759,2.153782900000806,44,73,0
2.0,500,756,2.4832696999983455,97,23,1
2.0,500,747,3.032899699999689,113,7,1
2.0,500,745,3.1789059000002453,97,19,1
2.0,500,749,3.2000565999987884,96,24,1
2.0,500,763,2.28308620000098,77,37,1
2.0,500,758,2.8132298000018636,68,42,1
2.0,500,752,3.2706916999995883,85,35,1
2.0,500,762,2.724329699998634,86,34,1
2.0,500,761,2.956473599999299,83,34,1
2.0,500,765,1.9733054999996966,64,56,1
2.0,500,769,1.8109839999997348,103,14,1
2.0,500,768,2.0006673999996565,105,15,1
2.0,500,770,2.0314216000006127,95,19,1
2.0,500,771,1.9134764000009454,104,16,1
2.0,500,774,1.7745205999999598,69,48,1
2.0,500,766,2.628657599998405,51,65,0
2.0,500,767,2.6000931000016863,96,24,1
2.0,500,772,2.1115119000023697,101,17,1
2.0,500,776,1.8700434999991558,62,51,1
2.0,500,764,4.259608199998183,78,38,1
2.0,500,778,3.1799033999996027,81,39,1
2.0,500,775,3.5042519999988144,88,32,1
2.0,500,780,3.1628683999988425,54,64,0
2.0,500,779,3.678347199998825,75,43,1
2.0,500,784,3.27947050000148,31,86,0
2.0,500,782,3.369377600000007,103,17,1
2.0,500,777,4.019216799999413,69,47,1
2.0,500,781,3.8382504000001063,95,23,1
2.0,500,785,3.494379600000684,78,42,1
2.0,500,773,4.557196999998268,112,8,1
2.0,500,787,3.2906582999967213,98,11,1
2.0,500,788,3.499449300001288,88,22,1
2.0,500,783,4.121884700001829,95,23,1
2.0,500,791,3.5550734999997076,72,44,1
2.0,500,790,4.1519570000018575,98,7,1
2.0,500,789,4.526854399999138,73,43,1
2.0,1000,1244,4.959048600001552,53,67,0
2.0,1000,1243,6.185980700000073,80,30,1
2.0,1000,1246,5.5670194000013,87,28,1
2.0,1000,1245,7.245445500000642,62,47,1
2.0,500,786,8.534492300001148,98,11,1
2.0,1000,1248,7.282643599999574,92,28,1
2.0,1000,1256,6.727920199999062,107,9,1
2.0,1000,1247,7.800495400002546,105,15,1
2.0,1000,1257,6.746858699996665,72,37,1
2.0,1000,1252,7.363622499997291,99,17,1
2.0,1000,1242,9.846857200001978,69,47,1
2.0,1000,1249,8.856162700001732,96,21,1
2.0,1000,1258,7.821729799998138,74,46,1
2.0,1000,1253,8.461507300002268,42,63,0
2.0,1000,1260,7.552853400000458,87,31,1
2.0,1000,1251,8.847220499999821,94,26,1
2.0,1000,1254,9.9081812000004,62,54,1
2.0,1000,1261,8.58006789999854,88,22,1
2.0,1000,1263,8.109176500001922,97,23,1
2.0,1000,1255,10.680233099999896,111,7,1
2.0,1000,1259,10.350765899998805,79,37,1
2.0,1000,1250,12.4061260999988,63,43,1
2.0,1000,1262,10.326264899998932,103,14,1
2.0,1000,1266,7.327924199998961,65,45,1
2.0,1000,1267,6.9183812999981456,65,55,1
2.0,1000,1265,7.7844812000003,106,11,1
2.0,1000,1271,5.513651600002049,82,36,1
2.0,1000,1264,8.757068099999742,91,29,1
2.0,1000,1269,5.782805099999678,98,12,1
2.0,1000,1270,5.719177099999797,92,26,1
2.0,1000,1268,6.351511200002278,74,46,1
2.0,1000,1272,5.926529799999116,89,19,1
2.0,1000,1274,4.871981000000233,68,39,1
2.0,1000,1277,4.533116700000392,82,31,1
2.0,1000,1278,4.576321299999108,64,53,1
2.0,1000,1273,5.987243099996704,113,3,1
2.0,1000,1280,3.287418300002173,94,23,1
2.0,1000,1276,5.031672700002673,66,43,1
2.0,1000,1275,5.287272999998095,98,22,1
2.0,1000,1279,3.7694661999994423,41,79,0
2.0,1000,1282,3.144905999997718,85,33,1
2.0,1000,1281,3.4628492000010738,80,40,1
2.0,1000,1283,3.5852283999993233,118,2,1
2.0,1000,1284,2.504022499997518,97,13,1
2.0,1000,1286,2.463454000000638,51,69,0
2.0,1000,1287,2.4693376000032004,95,11,1
2.0,1000,1290,2.2381769999992684,90,30,1
