matchup,seed,winner,points_DNN,points_Aleatorio,turns
DNN_vs_Aleatorio,357,DNN,83,27,39
DNN_vs_Aleatorio,358,Aleatorio,29,79,39
DNN_vs_Aleatorio,360,DNN,65,53,38
DNN_vs_Aleatorio,359,DNN,66,49,39
DNN_vs_Aleatorio,361,DNN,68,48,38
DNN_vs_Aleatorio,362,Aleatorio,44,65,39
DNN_vs_Aleatorio,363,DNN,88,32,39
DNN_vs_Aleatorio,365,DNN,62,54,39
DNN_vs_Aleatorio,364,DNN,94,22,39
DNN_vs_Aleatorio,366,Aleatorio,39,69,38
DNN_vs_Aleatorio,367,DNN,100,20,38
DNN_vs_Aleatorio,370,Aleatorio,37,71,39
DNN_vs_Aleatorio,368,Aleatorio,54,64,39
DNN_vs_Aleatorio,369,DNN,60,60,39
DNN_vs_Aleatorio,371,Aleatorio,42,76,39
DNN_vs_Aleatorio,372,Aleatorio,52,65,38
DNN_vs_Aleatorio,373,DNN,70,50,39
DNN_vs_Aleatorio,375,Aleatorio,37,69,39
DNN_vs_Aleatorio,374,Aleatorio,52,64,39
DNN_vs_Aleatorio,379,Aleatorio,41,68,39
DNN_vs_Aleatorio,377,Aleatorio,48,69,38
DNN_vs_Aleatorio,378,DNN,78,40,38
DNN_vs_Aleatorio,376,DNN,99,18,39
DNN_vs_Aleatorio,380,Aleatorio,52,68,39
DNN_vs_Aleatorio,382,Aleatorio,39,70,38
DNN_vs_Aleatorio,381,DNN,74,44,39
DNN_vs_Aleatorio,383,DNN,67,49,38
DNN_vs_Aleatorio,384,DNN,65,44,39
DNN_vs_Aleatorio,385,DNN,95,25,38
DNN_vs_Aleatorio,387,DNN,77,33,38
DNN_vs_Aleatorio,388,DNN,92,18,38
DNN_vs_Aleatorio,386,DNN,66,54,39
DNN_vs_Aleatorio,389,Aleatorio,10,100,39
DNN_vs_Aleatorio,391,Aleatorio,56,61,39
DNN_vs_Aleatorio,390,Aleatorio,56,61,38
DNN_vs_Aleatorio,394,Aleatorio,43,67,38
DNN_vs_Aleatorio,392,DNN,94,23,39
DNN_vs_Aleatorio,396,DNN,107,9,38
DNN_vs_Aleatorio,395,DNN,106,3,39
DNN_vs_Aleatorio,393,Aleatorio,49,61,39
