matchup,seed,winner,points_DNN,points_MCTS,turns
DNN_vs_MCTS,205,MCTS,40,70,38
DNN_vs_MCTS,207,MCTS,32,84,39
DNN_vs_MCTS,206,MCTS,55,65,39
DNN_vs_MCTS,210,MCTS,35,83,39
DNN_vs_MCTS,208,MCTS,52,66,39
DNN_vs_MCTS,209,MCTS,17,99,38
DNN_vs_MCTS,211,MCTS,25,85,39
DNN_vs_MCTS,214,MCTS,32,78,38
DNN_vs_MCTS,213,DNN,66,52,38
DNN_vs_MCTS,212,MCTS,28,89,38
DNN_vs_MCTS,215,DNN,71,49,38
DNN_vs_MCTS,200,MCTS,11,109,39
DNN_vs_MCTS,217,MCTS,50,70,39
DNN_vs_MCTS,218,MCTS,58,62,39
DNN_vs_MCTS,216,MCTS,38,77,38
DNN_vs_MCTS,220,DNN,60,60,38
DNN_vs_MCTS,219,MCTS,38,82,39
DNN_vs_MCTS,221,MCTS,24,93,39
DNN_vs_MCTS,224,MCTS,38,78,39
DNN_vs_MCTS,222,MCTS,38,79,38
DNN_vs_MCTS,228,MCTS,16,100,39
DNN_vs_MCTS,223,MCTS,15,102,39
DNN_vs_MCTS,226,MCTS,24,85,39
DNN_vs_MCTS,227,MCTS,36,74,38
DNN_vs_MCTS,225,DNN,59,46,39
DNN_vs_MCTS,235,MCTS,14,102,38
DNN_vs_MCTS,230,MCTS,19,99,39
DNN_vs_MCTS,231,MCTS,12,102,38
DNN_vs_MCTS,234,MCTS,46,74,39
DNN_vs_MCTS,229,MCTS,47,62,39
DNN_vs_MCTS,236,MCTS,17,96,39
DNN_vs_MCTS,232,MCTS,42,78,38
DNN_vs_MCTS,238,MCTS,40,80,39
DNN_vs_MCTS,237,MCTS,32,82,39
DNN_vs_MCTS,240,MCTS,38,69,38
DNN_vs_MCTS,239,MCTS,22,91,39
DNN_vs_MCTS,233,DNN,78,31,39
DNN_vs_MCTS,243,MCTS,48,70,39
DNN_vs_MCTS,242,MCTS,15,102,39
DNN_vs_MCTS,244,MCTS,6,114,39
DNN_vs_MCTS,247,MCTS,24,96,38
DNN_vs_MCTS,241,DNN,74,46,39
DNN_vs_MCTS,246,MCTS,34,71,38
DNN_vs_MCTS,245,MCTS,45,71,39
DNN_vs_MCTS,249,MCTS,32,88,39
DNN_vs_MCTS,250,MCTS,25,92,38
