matchup,seed,winner,points_DNN,points_Heuristico,turns
DNN_vs_Heuristico,290,Heuristico,56,61,39
DNN_vs_Heuristico,289,Heuristico,26,82,39
DNN_vs_Heuristico,292,Heuristico,38,82,39
DNN_vs_Heuristico,296,Heuristico,38,78,39
DNN_vs_Heuristico,293,Heuristico,36,84,39
DNN_vs_Heuristico,297,Heuristico,59,61,39
DNN_vs_Heuristico,295,DNN,59,54,38
DNN_vs_Heuristico,294,Heuristico,46,61,39
DNN_vs_Heuristico,298,Heuristico,38,82,39
DNN_vs_Heuristico,302,Heuristico,49,71,39
DNN_vs_Heuristico,299,Heuristico,46,60,39
DNN_vs_Heuristico,301,Heuristico,47,73,39
DNN_vs_Heuristico,300,Heuristico,36,84,39
DNN_vs_Heuristico,303,Heuristico,45,71,38
DNN_vs_Heuristico,304,Heuristico,25,95,39
DNN_vs_Heuristico,305,Heuristico,39,70,38
DNN_vs_Heuristico,306,Heuristico,45,65,39
DNN_vs_Heuristico,307,Heuristico,56,61,38
DNN_vs_Heuristico,308,Heuristico,30,90,38
DNN_vs_Heuristico,309,Heuristico,31,89,39
DNN_vs_Heuristico,310,Heuristico,41,79,39
DNN_vs_Heuristico,311,Heuristico,29,81,38
DNN_vs_Heuristico,314,Heuristico,28,81,38
DNN_vs_Heuristico,312,Heuristico,37,76,38
DNN_vs_Heuristico,313,DNN,70,50,39
DNN_vs_Heuristico,316,DNN,67,49,38
DNN_vs_Heuristico,317,Heuristico,49,71,38
DNN_vs_Heuristico,315,Heuristico,54,61,39
DNN_vs_Heuristico,320,Heuristico,17,92,39
DNN_vs_Heuristico,318,Heuristico,33,87,38
DNN_vs_Heuristico,322,Heuristico,56,61,39
DNN_vs_Heuristico,319,DNN,60,54,38
DNN_vs_Heuristico,323,Heuristico,38,80,39
DNN_vs_Heuristico,324,Heuristico,21,96,39
DNN_vs_Heuristico,321,Heuristico,26,90,39
DNN_vs_Heuristico,325,Heuristico,60,60,38
DNN_vs_Heuristico,326,DNN,68,52,38
DNN_vs_Heuristico,327,Heuristico,33,84,38
DNN_vs_Heuristico,328,Heuristico,34,84,39
DNN_vs_Heuristico,329,Heuristico,14,106,39
DNN_vs_Heuristico,330,DNN,65,53,39
DNN_vs_Heuristico,331,Heuristico,56,64,39
DNN_vs_Heuristico,333,Heuristico,29,88,38
DNN_vs_Heuristico,335,DNN,61,56,39
DNN_vs_Heuristico,332,Heuristico,45,75,39
DNN_vs_Heuristico,334,Heuristico,37,83,39
DNN_vs_Heuristico,337,Heuristico,35,74,38
